breed1	score1	breed2	score2	breed3	score3	timestamp	filename	path
"Walker hound, Walker foxhound"	0.646	"basset, basset hound"	0.24	bluetick	0.096	1678.163884	basset_hound_188.jpg	images/basset_hound_188.jpg
"basset, basset hound"	0.851	"Walker hound, Walker foxhound"	0.066	beagle	0.037	1681.458748	basset_hound_189.jpg	images/basset_hound_189.jpg
"basset, basset hound"	0.943	beagle	0.03	"Walker hound, Walker foxhound"	0.023	1684.767875	basset_hound_19.jpg	images/basset_hound_19.jpg
"basset, basset hound"	1	"bloodhound, sleuthhound"	0	Welsh springer spaniel	0.00E+00	1688.080014	basset_hound_190.jpg	images/basset_hound_190.jpg
miniature pinscher	0.48	black-and-tan coonhound	0.115	redbone	0.077	1691.389158	basset_hound_191.jpg	images/basset_hound_191.jpg
redbone	0.355	golden retriever	0.21	"Irish setter, red setter"	0.127	1694.688155	basset_hound_192.jpg	images/basset_hound_192.jpg
Weimaraner	0.209	black-and-tan coonhound	0.163	"Doberman, Doberman pinscher"	0.144	1698.002252	basset_hound_193.jpg	images/basset_hound_193.jpg
"basset, basset hound"	0.478	"Walker hound, Walker foxhound"	0.207	bluetick	0.084	1701.349821	basset_hound_194.jpg	images/basset_hound_194.jpg
"basset, basset hound"	0.967	"Walker hound, Walker foxhound"	0.026	"bloodhound, sleuthhound"	0.006	1704.662309	basset_hound_195.jpg	images/basset_hound_195.jpg
beagle	0.371	"pug, pug-dog"	0.194	Italian greyhound	0.059	1707.994358	basset_hound_196.jpg	images/basset_hound_196.jpg
palace	0.073	"handkerchief, hankie, hanky, hankey"	0.066	purse	0.048	1711.297679	basset_hound_197.jpg	images/basset_hound_197.jpg
Brittany spaniel	0.395	"basset, basset hound"	0.287	Welsh springer spaniel	0.161	1714.639949	basset_hound_198.jpg	images/basset_hound_198.jpg
"basset, basset hound"	0.992	"bloodhound, sleuthhound"	0.007	"Walker hound, Walker foxhound"	0	1717.969974	basset_hound_199.jpg	images/basset_hound_199.jpg
"bloodhound, sleuthhound"	0.519	"basset, basset hound"	0.481	black-and-tan coonhound	0	1721.325647	basset_hound_2.jpg	images/basset_hound_2.jpg
"basset, basset hound"	0.945	"bloodhound, sleuthhound"	0.019	"Walker hound, Walker foxhound"	0.019	1724.6315	basset_hound_20.jpg	images/basset_hound_20.jpg
beagle	0.426	English foxhound	0.306	"Walker hound, Walker foxhound"	0.103	1727.976151	basset_hound_200.jpg	images/basset_hound_200.jpg
"basset, basset hound"	0.998	Welsh springer spaniel	0.001	"Walker hound, Walker foxhound"	0	1731.273058	basset_hound_21.jpg	images/basset_hound_21.jpg
"basset, basset hound"	1	"bloodhound, sleuthhound"	0.00E+00	"Walker hound, Walker foxhound"	0.00E+00	1734.554723	basset_hound_22.jpg	images/basset_hound_22.jpg
"basset, basset hound"	1	"Walker hound, Walker foxhound"	0	"Saluki, gazelle hound"	0.00E+00	1737.84068	basset_hound_23.jpg	images/basset_hound_23.jpg
"basset, basset hound"	0.83	Welsh springer spaniel	0.081	beagle	0.036	1741.164017	basset_hound_24.jpg	images/basset_hound_24.jpg
"basset, basset hound"	0.89	"English springer, English springer spaniel"	0.027	beagle	0.016	1744.447193	basset_hound_25.jpg	images/basset_hound_25.jpg
"basset, basset hound"	0.991	"Walker hound, Walker foxhound"	0.006	Greater Swiss Mountain dog	0.001	1747.920283	basset_hound_26.jpg	images/basset_hound_26.jpg
"basset, basset hound"	0.995	"bloodhound, sleuthhound"	0.004	"Walker hound, Walker foxhound"	0.001	1751.246546	basset_hound_27.jpg	images/basset_hound_27.jpg
"basset, basset hound"	0.971	beagle	0.015	"Walker hound, Walker foxhound"	0.007	1754.558582	basset_hound_28.jpg	images/basset_hound_28.jpg
"basset, basset hound"	0.751	"Walker hound, Walker foxhound"	0.177	beagle	0.037	1757.85107	basset_hound_29.jpg	images/basset_hound_29.jpg
"basset, basset hound"	0.995	"bloodhound, sleuthhound"	0.004	beagle	0.001	1761.157664	basset_hound_3.jpg	images/basset_hound_3.jpg
"basset, basset hound"	0.759	bluetick	0.135	"Walker hound, Walker foxhound"	0.063	1764.506084	basset_hound_30.jpg	images/basset_hound_30.jpg
"basset, basset hound"	0.99	"bloodhound, sleuthhound"	0.01	"Walker hound, Walker foxhound"	0.00E+00	1767.82612	basset_hound_31.jpg	images/basset_hound_31.jpg
"basset, basset hound"	0.925	"bloodhound, sleuthhound"	0.028	redbone	0.018	1771.1138	basset_hound_32.jpg	images/basset_hound_32.jpg
"basset, basset hound"	0.998	"Walker hound, Walker foxhound"	0.001	"bloodhound, sleuthhound"	0.001	1774.426579	basset_hound_33.jpg	images/basset_hound_33.jpg
"basset, basset hound"	0.951	"Walker hound, Walker foxhound"	0.033	beagle	0.008	1777.782419	basset_hound_34.jpg	images/basset_hound_34.jpg
"basset, basset hound"	0.624	beagle	0.234	Brittany spaniel	0.038	1781.093194	basset_hound_35.jpg	images/basset_hound_35.jpg
"basset, basset hound"	0.942	"Walker hound, Walker foxhound"	0.035	beagle	0.013	1784.404915	basset_hound_36.jpg	images/basset_hound_36.jpg
"basset, basset hound"	0.992	"Walker hound, Walker foxhound"	0.006	"bloodhound, sleuthhound"	0.001	1787.723151	basset_hound_37.jpg	images/basset_hound_37.jpg
"basset, basset hound"	0.999	"Walker hound, Walker foxhound"	0.001	"bloodhound, sleuthhound"	0	1791.034875	basset_hound_38.jpg	images/basset_hound_38.jpg
"basset, basset hound"	0.986	redbone	0.008	"bloodhound, sleuthhound"	0.006	1794.349428	basset_hound_39.jpg	images/basset_hound_39.jpg
"basset, basset hound"	0.363	"Walker hound, Walker foxhound"	0.354	beagle	0.048	1797.67849	basset_hound_4.jpg	images/basset_hound_4.jpg
"basset, basset hound"	0.434	"Walker hound, Walker foxhound"	0.404	beagle	0.129	1800.964128	basset_hound_40.jpg	images/basset_hound_40.jpg
bluetick	0.883	"basset, basset hound"	0.087	"Walker hound, Walker foxhound"	0.023	1804.262921	basset_hound_41.jpg	images/basset_hound_41.jpg
"basset, basset hound"	0.77	Brittany spaniel	0.139	beagle	0.06	1807.570208	basset_hound_42.jpg	images/basset_hound_42.jpg
"basset, basset hound"	0.998	beagle	0.001	"Walker hound, Walker foxhound"	0.001	1810.877495	basset_hound_43.jpg	images/basset_hound_43.jpg
"basset, basset hound"	0.643	"English springer, English springer spaniel"	0.226	"Walker hound, Walker foxhound"	0.041	1814.182555	basset_hound_44.jpg	images/basset_hound_44.jpg
"basset, basset hound"	0.973	"Walker hound, Walker foxhound"	0.017	"bloodhound, sleuthhound"	0.006	1817.517304	basset_hound_45.jpg	images/basset_hound_45.jpg
"basset, basset hound"	0.672	Welsh springer spaniel	0.271	English foxhound	0.015	1820.986679	basset_hound_46.jpg	images/basset_hound_46.jpg
"basset, basset hound"	0.998	"Walker hound, Walker foxhound"	0.002	"bloodhound, sleuthhound"	0	1824.275194	basset_hound_47.jpg	images/basset_hound_47.jpg
"basset, basset hound"	0.993	"Walker hound, Walker foxhound"	0.004	"bloodhound, sleuthhound"	0.002	1827.598996	basset_hound_48.jpg	images/basset_hound_48.jpg
"basset, basset hound"	0.988	beagle	0.007	"Walker hound, Walker foxhound"	0.004	1830.933344	basset_hound_49.jpg	images/basset_hound_49.jpg
"basset, basset hound"	0.965	"Walker hound, Walker foxhound"	0.03	beagle	0.002	1834.231924	basset_hound_5.jpg	images/basset_hound_5.jpg
"Walker hound, Walker foxhound"	0.431	"basset, basset hound"	0.304	beagle	0.243	1837.57726	basset_hound_50.jpg	images/basset_hound_50.jpg
"basset, basset hound"	0.742	"Walker hound, Walker foxhound"	0.247	bluetick	0.005	1840.892585	basset_hound_51.jpg	images/basset_hound_51.jpg
"basset, basset hound"	0.499	beagle	0.448	English foxhound	0.024	1844.226695	basset_hound_52.jpg	images/basset_hound_52.jpg
"basset, basset hound"	0.965	"Walker hound, Walker foxhound"	0.028	"bloodhound, sleuthhound"	0.005	1847.531836	basset_hound_53.jpg	images/basset_hound_53.jpg
"basset, basset hound"	0.965	Welsh springer spaniel	0.02	English foxhound	0.004	1850.820537	basset_hound_54.jpg	images/basset_hound_54.jpg
"basset, basset hound"	0.994	beagle	0.004	"bloodhound, sleuthhound"	0.001	1854.105389	basset_hound_55.jpg	images/basset_hound_55.jpg
"basset, basset hound"	0.998	beagle	0.001	"Walker hound, Walker foxhound"	0	1857.39784	basset_hound_56.jpg	images/basset_hound_56.jpg
"basset, basset hound"	0.993	"Walker hound, Walker foxhound"	0.005	beagle	0.001	1860.730744	basset_hound_57.jpg	images/basset_hound_57.jpg
"basset, basset hound"	0.082	beagle	0.061	Welsh springer spaniel	0.052	1864.047097	basset_hound_58.jpg	images/basset_hound_58.jpg
"basset, basset hound"	0.995	beagle	0.002	"Walker hound, Walker foxhound"	0.001	1867.330624	basset_hound_59.jpg	images/basset_hound_59.jpg
"basset, basset hound"	0.993	"bloodhound, sleuthhound"	0.006	"Walker hound, Walker foxhound"	0	1870.611942	basset_hound_6.jpg	images/basset_hound_6.jpg
"basset, basset hound"	0.325	"Walker hound, Walker foxhound"	0.273	English foxhound	0.157	1873.902391	basset_hound_60.jpg	images/basset_hound_60.jpg
"basset, basset hound"	0.965	"Walker hound, Walker foxhound"	0.021	"bloodhound, sleuthhound"	0.004	1877.210951	basset_hound_61.jpg	images/basset_hound_61.jpg
"basset, basset hound"	0.958	"bloodhound, sleuthhound"	0.023	"Walker hound, Walker foxhound"	0.011	1880.500594	basset_hound_62.jpg	images/basset_hound_62.jpg
"basset, basset hound"	0.978	beagle	0.014	"bloodhound, sleuthhound"	0.007	1883.81527	basset_hound_63.jpg	images/basset_hound_63.jpg
beagle	0.764	"basset, basset hound"	0.142	"Walker hound, Walker foxhound"	0.045	1887.172161	basset_hound_64.jpg	images/basset_hound_64.jpg
"basset, basset hound"	0.997	"Walker hound, Walker foxhound"	0.001	Welsh springer spaniel	0.001	1890.515039	basset_hound_65.jpg	images/basset_hound_65.jpg
beagle	0.466	"basset, basset hound"	0.389	"Walker hound, Walker foxhound"	0.056	1893.931292	basset_hound_66.jpg	images/basset_hound_66.jpg
"bloodhound, sleuthhound"	0.646	redbone	0.257	"basset, basset hound"	0.074	1897.222194	basset_hound_67.jpg	images/basset_hound_67.jpg
beagle	0.957	"basset, basset hound"	0.031	"Walker hound, Walker foxhound"	0.007	1900.543434	basset_hound_68.jpg	images/basset_hound_68.jpg
"basset, basset hound"	0.999	"bloodhound, sleuthhound"	0.001	"Walker hound, Walker foxhound"	0.00E+00	1903.886004	basset_hound_69.jpg	images/basset_hound_69.jpg
beagle	0.528	English foxhound	0.228	"Walker hound, Walker foxhound"	0.152	1907.21075	basset_hound_7.jpg	images/basset_hound_7.jpg
"basset, basset hound"	1	"bloodhound, sleuthhound"	0.00E+00	"Walker hound, Walker foxhound"	0.00E+00	1910.531372	basset_hound_70.jpg	images/basset_hound_70.jpg
beagle	0.753	"Walker hound, Walker foxhound"	0.098	"basset, basset hound"	0.083	1913.824459	basset_hound_71.jpg	images/basset_hound_71.jpg
"basset, basset hound"	0.994	"Walker hound, Walker foxhound"	0.005	beagle	0.001	1917.111298	basset_hound_72.jpg	images/basset_hound_72.jpg
"basset, basset hound"	0.736	"Walker hound, Walker foxhound"	0.221	beagle	0.022	1920.402199	basset_hound_73.jpg	images/basset_hound_73.jpg
"basset, basset hound"	0.961	"bloodhound, sleuthhound"	0.037	"Walker hound, Walker foxhound"	0.001	1923.712121	basset_hound_74.jpg	images/basset_hound_74.jpg
"basset, basset hound"	0.337	"bloodhound, sleuthhound"	0.165	beagle	0.107	1927.013401	basset_hound_75.jpg	images/basset_hound_75.jpg
"basset, basset hound"	0.764	beagle	0.148	"bloodhound, sleuthhound"	0.023	1930.311841	basset_hound_76.jpg	images/basset_hound_76.jpg
"basset, basset hound"	0.462	English foxhound	0.219	"Walker hound, Walker foxhound"	0.178	1933.62134	basset_hound_77.jpg	images/basset_hound_77.jpg
"basset, basset hound"	0.979	Welsh springer spaniel	0.019	"bloodhound, sleuthhound"	0.001	1936.974883	basset_hound_78.jpg	images/basset_hound_78.jpg
"basset, basset hound"	0.472	beagle	0.267	"English springer, English springer spaniel"	0.076	1940.274776	basset_hound_79.jpg	images/basset_hound_79.jpg
"basset, basset hound"	0.996	"bloodhound, sleuthhound"	0.002	beagle	0	1943.620442	basset_hound_8.jpg	images/basset_hound_8.jpg
"basset, basset hound"	0.998	beagle	0.001	"Walker hound, Walker foxhound"	0.001	1946.916961	basset_hound_80.jpg	images/basset_hound_80.jpg
Welsh springer spaniel	0.518	"basset, basset hound"	0.275	beagle	0.114	1950.202001	basset_hound_81.jpg	images/basset_hound_81.jpg
"basset, basset hound"	0.97	"Walker hound, Walker foxhound"	0.024	"bloodhound, sleuthhound"	0.004	1953.515189	basset_hound_82.jpg	images/basset_hound_82.jpg
"basset, basset hound"	0.917	beagle	0.045	"Walker hound, Walker foxhound"	0.014	1956.846653	basset_hound_83.jpg	images/basset_hound_83.jpg
"basset, basset hound"	0.926	beagle	0.062	Welsh springer spaniel	0.005	1960.34643	basset_hound_84.jpg	images/basset_hound_84.jpg
"basset, basset hound"	0.999	beagle	0.001	"Walker hound, Walker foxhound"	0	1963.736064	basset_hound_85.jpg	images/basset_hound_85.jpg
"basset, basset hound"	0.992	beagle	0.005	"Walker hound, Walker foxhound"	0.003	1967.225747	basset_hound_86.jpg	images/basset_hound_86.jpg
"basset, basset hound"	0.979	"Walker hound, Walker foxhound"	0.018	"bloodhound, sleuthhound"	0.002	1970.514076	basset_hound_87.jpg	images/basset_hound_87.jpg
"Walker hound, Walker foxhound"	0.468	beagle	0.296	"basset, basset hound"	0.174	1973.843308	basset_hound_88.jpg	images/basset_hound_88.jpg
"basset, basset hound"	0.945	beagle	0.03	"Walker hound, Walker foxhound"	0.016	1977.156999	basset_hound_89.jpg	images/basset_hound_89.jpg
"basset, basset hound"	0.998	"Walker hound, Walker foxhound"	0.002	"bloodhound, sleuthhound"	0.00E+00	1980.486163	basset_hound_9.jpg	images/basset_hound_9.jpg
"basset, basset hound"	0.994	beagle	0.005	"bloodhound, sleuthhound"	0	1983.769699	basset_hound_90.jpg	images/basset_hound_90.jpg
"basset, basset hound"	0.896	"Irish setter, red setter"	0.041	redbone	0.034	1987.098857	basset_hound_91.jpg	images/basset_hound_91.jpg
"basset, basset hound"	0.997	"Walker hound, Walker foxhound"	0.002	beagle	0	1990.429458	basset_hound_92.jpg	images/basset_hound_92.jpg
"basset, basset hound"	1	"bloodhound, sleuthhound"	0	beagle	0.00E+00	1993.793203	basset_hound_93.jpg	images/basset_hound_93.jpg
"basset, basset hound"	0.833	"Walker hound, Walker foxhound"	0.073	"bloodhound, sleuthhound"	0.054	1997.092429	basset_hound_94.jpg	images/basset_hound_94.jpg
"basset, basset hound"	0.693	"bloodhound, sleuthhound"	0.307	"Walker hound, Walker foxhound"	0.00E+00	2000.416484	basset_hound_95.jpg	images/basset_hound_95.jpg
"basset, basset hound"	0.525	"Walker hound, Walker foxhound"	0.432	beagle	0.027	2003.705423	basset_hound_96.jpg	images/basset_hound_96.jpg
"basset, basset hound"	0.885	Greater Swiss Mountain dog	0.056	"Walker hound, Walker foxhound"	0.042	2007.043335	basset_hound_97.jpg	images/basset_hound_97.jpg
"basset, basset hound"	0.999	"Walker hound, Walker foxhound"	0	"bloodhound, sleuthhound"	0	2010.371257	basset_hound_98.jpg	images/basset_hound_98.jpg
"basset, basset hound"	0.999	"bloodhound, sleuthhound"	0.001	"Walker hound, Walker foxhound"	0	2013.700578	basset_hound_99.jpg	images/basset_hound_99.jpg
beagle	0.927	"Walker hound, Walker foxhound"	0.043	bluetick	0.014	2017.069215	beagle_1.jpg	images/beagle_1.jpg
beagle	0.661	"basset, basset hound"	0.192	"Walker hound, Walker foxhound"	0.126	2020.360318	beagle_10.jpg	images/beagle_10.jpg
beagle	0.402	"Walker hound, Walker foxhound"	0.389	"basset, basset hound"	0.184	2023.691139	beagle_100.jpg	images/beagle_100.jpg
beagle	0.895	English foxhound	0.048	"Walker hound, Walker foxhound"	0.047	2026.979843	beagle_101.jpg	images/beagle_101.jpg
beagle	0.561	"Walker hound, Walker foxhound"	0.435	English foxhound	0.003	2030.298411	beagle_102.jpg	images/beagle_102.jpg
beagle	0.923	"basset, basset hound"	0.026	"Walker hound, Walker foxhound"	0.022	2033.586335	beagle_103.jpg	images/beagle_103.jpg
beagle	0.857	"basset, basset hound"	0.098	"Walker hound, Walker foxhound"	0.023	2036.875583	beagle_104.jpg	images/beagle_104.jpg
beagle	0.755	English foxhound	0.14	basenji	0.038	2040.166748	beagle_105.jpg	images/beagle_105.jpg
bath towel	0.312	beagle	0.283	Labrador retriever	0.19	2043.695278	beagle_107.jpg	images/beagle_107.jpg
beagle	0.874	English foxhound	0.076	"Walker hound, Walker foxhound"	0.048	2046.991375	beagle_108.jpg	images/beagle_108.jpg
beagle	0.907	English foxhound	0.041	"Walker hound, Walker foxhound"	0.038	2050.300188	beagle_109.jpg	images/beagle_109.jpg
beagle	0.861	"basset, basset hound"	0.082	Brittany spaniel	0.028	2053.642107	beagle_110.jpg	images/beagle_110.jpg
beagle	0.974	English foxhound	0.012	"Walker hound, Walker foxhound"	0.006	2056.980974	beagle_111.jpg	images/beagle_111.jpg
beagle	0.689	"Walker hound, Walker foxhound"	0.107	"basset, basset hound"	0.073	2060.275615	beagle_112.jpg	images/beagle_112.jpg
beagle	0.551	"Walker hound, Walker foxhound"	0.202	English foxhound	0.044	2063.560326	beagle_113.jpg	images/beagle_113.jpg
"basset, basset hound"	0.942	beagle	0.038	"Walker hound, Walker foxhound"	0.015	2066.863136	beagle_114.jpg	images/beagle_114.jpg
"basset, basset hound"	0.659	beagle	0.267	"Walker hound, Walker foxhound"	0.051	2070.17031	beagle_115.jpg	images/beagle_115.jpg
beagle	0.967	"basset, basset hound"	0.01	"Walker hound, Walker foxhound"	0.007	2073.494523	beagle_116.jpg	images/beagle_116.jpg
beagle	0.831	"Walker hound, Walker foxhound"	0.128	English foxhound	0.017	2076.855756	beagle_117.jpg	images/beagle_117.jpg
beagle	0.687	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.081	"boxer, american bulldog"	0.057	2080.164472	beagle_118.jpg	images/beagle_118.jpg
beagle	0.918	"Walker hound, Walker foxhound"	0.049	English foxhound	0.022	2083.482733	beagle_119.jpg	images/beagle_119.jpg
beagle	0.917	"Walker hound, Walker foxhound"	0.053	English foxhound	0.022	2086.772532	beagle_12.jpg	images/beagle_12.jpg
"Walker hound, Walker foxhound"	0.55	beagle	0.32	English foxhound	0.121	2090.093415	beagle_120.jpg	images/beagle_120.jpg
"Walker hound, Walker foxhound"	0.781	beagle	0.127	English foxhound	0.037	2093.616977	beagle_121.jpg	images/beagle_121.jpg
"Walker hound, Walker foxhound"	0.735	English foxhound	0.169	beagle	0.072	2096.947451	beagle_122.jpg	images/beagle_122.jpg
beagle	0.564	"basset, basset hound"	0.146	"Walker hound, Walker foxhound"	0.071	2100.247069	beagle_123.jpg	images/beagle_123.jpg
Brittany spaniel	0.971	beagle	0.006	Labrador retriever	0.005	2103.539021	beagle_124.jpg	images/beagle_124.jpg
Appenzeller	0.37	beagle	0.31	EntleBucher	0.065	2106.896097	beagle_125.jpg	images/beagle_125.jpg
beagle	0.96	English foxhound	0.01	"Walker hound, Walker foxhound"	0.009	2110.200835	beagle_126.jpg	images/beagle_126.jpg
beagle	0.854	"Walker hound, Walker foxhound"	0.101	"basset, basset hound"	0.041	2113.48099	beagle_127.jpg	images/beagle_127.jpg
English foxhound	0.427	"Walker hound, Walker foxhound"	0.4	beagle	0.081	2116.770979	beagle_128.jpg	images/beagle_128.jpg
beagle	0.994	"Walker hound, Walker foxhound"	0.003	English foxhound	0.003	2120.06945	beagle_129.jpg	images/beagle_129.jpg
beagle	0.315	golden retriever	0.228	Labrador retriever	0.146	2123.354943	beagle_13.jpg	images/beagle_13.jpg
beagle	0.343	"basset, basset hound"	0.118	Italian greyhound	0.093	2126.825061	beagle_130.jpg	images/beagle_130.jpg
beagle	0.693	"basset, basset hound"	0.097	Brittany spaniel	0.093	2130.124304	beagle_131.jpg	images/beagle_131.jpg
beagle	0.953	"basset, basset hound"	0.029	"Walker hound, Walker foxhound"	0.015	2133.421127	beagle_133.jpg	images/beagle_133.jpg
"basset, basset hound"	0.318	"boxer, american bulldog"	0.088	beagle	0.06	2136.740282	beagle_134.jpg	images/beagle_134.jpg
"basset, basset hound"	0.35	"Walker hound, Walker foxhound"	0.332	English foxhound	0.255	2140.090534	beagle_135.jpg	images/beagle_135.jpg
"basset, basset hound"	0.555	beagle	0.234	"Walker hound, Walker foxhound"	0.176	2143.377381	beagle_136.jpg	images/beagle_136.jpg
basenji	0.448	"Ibizan hound, Ibizan Podenco"	0.173	"basset, basset hound"	0.125	2146.68482	beagle_137.jpg	images/beagle_137.jpg
beagle	0.872	"basset, basset hound"	0.09	"Walker hound, Walker foxhound"	0.033	2150.014088	beagle_138.jpg	images/beagle_138.jpg
beagle	0.733	"basset, basset hound"	0.121	"Walker hound, Walker foxhound"	0.098	2153.589185	beagle_139.jpg	images/beagle_139.jpg
beagle	0.984	"basset, basset hound"	0.008	"Walker hound, Walker foxhound"	0.007	2156.931481	beagle_14.jpg	images/beagle_14.jpg
"basset, basset hound"	0.428	"Walker hound, Walker foxhound"	0.289	beagle	0.102	2160.233932	beagle_140.jpg	images/beagle_140.jpg
Greater Swiss Mountain dog	0.513	EntleBucher	0.262	Appenzeller	0.152	2163.543221	beagle_141.jpg	images/beagle_141.jpg
EntleBucher	0.75	Greater Swiss Mountain dog	0.121	Appenzeller	0.086	2166.895872	beagle_142.jpg	images/beagle_142.jpg
"basset, basset hound"	0.352	beagle	0.272	redbone	0.155	2170.211528	beagle_143.jpg	images/beagle_143.jpg
beagle	0.577	"basset, basset hound"	0.353	"Walker hound, Walker foxhound"	0.041	2173.51793	beagle_144.jpg	images/beagle_144.jpg
beagle	0.557	Blenheim spaniel	0.05	"basset, basset hound"	0.041	2176.868788	beagle_145.jpg	images/beagle_145.jpg
"basset, basset hound"	0.273	beagle	0.202	Bernese mountain dog	0.2	2180.153289	beagle_146.jpg	images/beagle_146.jpg
"jersey, T-shirt, tee shirt"	0.155	"television, television system"	0.111	electric guitar	0.07	2183.502019	beagle_147.jpg	images/beagle_147.jpg
beagle	0.928	"Walker hound, Walker foxhound"	0.06	"basset, basset hound"	0.009	2186.815815	beagle_148.jpg	images/beagle_148.jpg
"basset, basset hound"	0.73	beagle	0.237	"Walker hound, Walker foxhound"	0.029	2190.13913	beagle_149.jpg	images/beagle_149.jpg
beagle	0.983	"Walker hound, Walker foxhound"	0.009	English foxhound	0.005	2193.454241	beagle_15.jpg	images/beagle_15.jpg
"Walker hound, Walker foxhound"	0.75	beagle	0.219	"basset, basset hound"	0.027	2196.752449	beagle_150.jpg	images/beagle_150.jpg
beagle	0.941	"Walker hound, Walker foxhound"	0.021	Appenzeller	0.009	2200.040488	beagle_151.jpg	images/beagle_151.jpg
"Pembroke, Pembroke Welsh corgi"	0.716	beagle	0.203	"Cardigan, Cardigan Welsh corgi"	0.06	2203.359538	beagle_152.jpg	images/beagle_152.jpg
"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca"	0.119	beagle	0.066	"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens"	0.062	2206.695984	beagle_153.jpg	images/beagle_153.jpg
beagle	0.774	"Walker hound, Walker foxhound"	0.205	English foxhound	0.014	2210.153786	beagle_154.jpg	images/beagle_154.jpg
beagle	0.372	Brittany spaniel	0.197	tennis ball	0.089	2213.489081	beagle_155.jpg	images/beagle_155.jpg
beagle	0.976	Labrador retriever	0.006	bluetick	0.004	2216.779967	beagle_156.jpg	images/beagle_156.jpg
"Walker hound, Walker foxhound"	0.495	beagle	0.309	"basset, basset hound"	0.112	2220.110423	beagle_157.jpg	images/beagle_157.jpg
beagle	0.903	"Walker hound, Walker foxhound"	0.078	"basset, basset hound"	0.016	2223.410528	beagle_158.jpg	images/beagle_158.jpg
beagle	0.94	"Walker hound, Walker foxhound"	0.054	English foxhound	0.002	2226.694384	beagle_16.jpg	images/beagle_16.jpg
beagle	0.244	Brittany spaniel	0.172	"basset, basset hound"	0.069	2230.049727	beagle_160.jpg	images/beagle_160.jpg
beagle	0.199	Chihuahua	0.093	black-and-tan coonhound	0.07	2233.352762	beagle_161.jpg	images/beagle_161.jpg
beagle	0.946	"Walker hound, Walker foxhound"	0.05	English foxhound	0.003	2236.655199	beagle_162.jpg	images/beagle_162.jpg
beagle	0.803	redbone	0.133	Rhodesian ridgeback	0.013	2239.962838	beagle_163.jpg	images/beagle_163.jpg
beagle	0.21	bull mastiff	0.112	Chihuahua	0.104	2243.293444	beagle_164.jpg	images/beagle_164.jpg
beagle	0.913	redbone	0.017	"basset, basset hound"	0.016	2246.591477	beagle_165.jpg	images/beagle_165.jpg
beagle	0.519	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.112	"Staffordshire bullterrier, Staffordshire bull terrier"	0.073	2249.886628	beagle_166.jpg	images/beagle_166.jpg
hamper	0.443	"Pembroke, Pembroke Welsh corgi"	0.217	redbone	0.063	2253.186785	beagle_167.jpg	images/beagle_167.jpg
beagle	0.971	"Walker hound, Walker foxhound"	0.01	"basset, basset hound"	0.008	2256.490985	beagle_168.jpg	images/beagle_168.jpg
"dingo, warrigal, warragal, Canis dingo"	0.653	kelpie	0.101	redbone	0.069	2259.783283	beagle_169.jpg	images/beagle_169.jpg
beagle	0.637	English foxhound	0.195	"Walker hound, Walker foxhound"	0.158	2263.103106	beagle_17.jpg	images/beagle_17.jpg
beagle	0.406	"boxer, american bulldog"	0.266	"basset, basset hound"	0.108	2266.384428	beagle_170.jpg	images/beagle_170.jpg
beagle	0.358	"Walker hound, Walker foxhound"	0.175	"basset, basset hound"	0.125	2269.698914	beagle_171.jpg	images/beagle_171.jpg
redbone	0.588	beagle	0.156	Labrador retriever	0.06	2272.986958	beagle_172.jpg	images/beagle_172.jpg
beagle	0.387	Labrador retriever	0.114	shower cap	0.064	2276.298822	beagle_173.jpg	images/beagle_173.jpg
beagle	0.724	"basset, basset hound"	0.136	redbone	0.029	2279.586376	beagle_174.jpg	images/beagle_174.jpg
beagle	0.677	"Pembroke, Pembroke Welsh corgi"	0.189	"Cardigan, Cardigan Welsh corgi"	0.033	2282.866565	beagle_175.jpg	images/beagle_175.jpg
beagle	0.92	"basset, basset hound"	0.066	"Walker hound, Walker foxhound"	0.009	2286.167139	beagle_176.jpg	images/beagle_176.jpg
beagle	0.615	"Walker hound, Walker foxhound"	0.209	"basset, basset hound"	0.101	2289.66013	beagle_177.jpg	images/beagle_177.jpg
"Walker hound, Walker foxhound"	0.53	beagle	0.284	English foxhound	0.148	2292.950955	beagle_178.jpg	images/beagle_178.jpg
beagle	0.766	"Walker hound, Walker foxhound"	0.136	English foxhound	0.088	2296.264291	beagle_179.jpg	images/beagle_179.jpg
beagle	0.752	basenji	0.137	"Walker hound, Walker foxhound"	0.055	2299.599431	beagle_18.jpg	images/beagle_18.jpg
"Boston bull, Boston terrier"	0.419	beagle	0.36	"boxer, american bulldog"	0.056	2302.89211	beagle_180.jpg	images/beagle_180.jpg
beagle	0.487	"basset, basset hound"	0.102	basenji	0.092	2306.197005	beagle_181.jpg	images/beagle_181.jpg
beagle	0.973	"Walker hound, Walker foxhound"	0.024	English foxhound	0.002	2309.558479	beagle_182.jpg	images/beagle_182.jpg
Brittany spaniel	0.649	Welsh springer spaniel	0.15	Blenheim spaniel	0.096	2312.873906	beagle_183.jpg	images/beagle_183.jpg
